step:379/1390 train_time:907831ms step_avg:2395.33ms
step:380/1390 train_time:910226ms step_avg:2395.33ms
step:381/1390 train_time:912624ms step_avg:2395.34ms
step:382/1390 train_time:915018ms step_avg:2395.34ms
step:383/1390 train_time:917415ms step_avg:2395.34ms
step:384/1390 train_time:919809ms step_avg:2395.34ms
step:385/1390 train_time:922208ms step_avg:2395.35ms
step:386/1390 train_time:924603ms step_avg:2395.34ms
step:387/1390 train_time:927000ms step_avg:2395.35ms
step:388/1390 train_time:929395ms step_avg:2395.35ms
step:389/1390 train_time:931793ms step_avg:2395.36ms
step:390/1390 train_time:934188ms step_avg:2395.35ms
step:391/1390 train_time:936585ms step_avg:2395.36ms
step:392/1390 train_time:938979ms step_avg:2395.36ms
step:393/1390 train_time:941379ms step_avg:2395.37ms
step:394/1390 train_time:943773ms step_avg:2395.36ms
step:395/1390 train_time:946170ms step_avg:2395.37ms
step:396/1390 train_time:948564ms step_avg:2395.36ms
step:397/1390 train_time:950963ms step_avg:2395.37ms
step:398/1390 train_time:953358ms step_avg:2395.37ms
step:399/1390 train_time:955755ms step_avg:2395.38ms
step:400/1390 train_time:958150ms step_avg:2395.38ms
step:400/1390 val_loss:4.2684 train_time:958252ms step_avg:2395.63ms
step:401/1390 train_time:960552ms step_avg:2395.39ms
step:402/1390 train_time:962948ms step_avg:2395.39ms
step:403/1390 train_time:965345ms step_avg:2395.40ms
step:404/1390 train_time:967739ms step_avg:2395.39ms
step:405/1390 train_time:970138ms step_avg:2395.40ms
step:406/1390 train_time:972533ms step_avg:2395.40ms
step:407/1390 train_time:974929ms step_avg:2395.40ms
step:408/1390 train_time:977324ms step_avg:2395.40ms
step:409/1390 train_time:979720ms step_avg:2395.40ms
step:410/1390 train_time:982116ms step_avg:2395.41ms
step:411/1390 train_time:984513ms step_avg:2395.41ms
step:412/1390 train_time:986908ms step_avg:2395.41ms
step:413/1390 train_time:989305ms step_avg:2395.41ms
step:414/1390 train_time:991701ms step_avg:2395.41ms
step:415/1390 train_time:994098ms step_avg:2395.42ms
step:416/1390 train_time:996492ms step_avg:2395.41ms
step:417/1390 train_time:998888ms step_avg:2395.42ms
step:418/1390 train_time:1001284ms step_avg:2395.42ms
step:419/1390 train_time:1003681ms step_avg:2395.42ms
step:420/1390 train_time:1006076ms step_avg:2395.42ms
step:421/1390 train_time:1008473ms step_avg:2395.42ms
step:422/1390 train_time:1010869ms step_avg:2395.42ms
step:423/1390 train_time:1013266ms step_avg:2395.43ms
step:424/1390 train_time:1015660ms step_avg:2395.42ms
step:425/1390 train_time:1018056ms step_avg:2395.43ms
step:426/1390 train_time:1020452ms step_avg:2395.43ms
step:427/1390 train_time:1022849ms step_avg:2395.43ms
step:428/1390 train_time:1025244ms step_avg:2395.43ms
step:429/1390 train_time:1027640ms step_avg:2395.43ms
step:430/1390 train_time:1030034ms step_avg:2395.43ms
step:431/1390 train_time:1032433ms step_avg:2395.44ms
step:432/1390 train_time:1034827ms step_avg:2395.43ms
step:433/1390 train_time:1037224ms step_avg:2395.44ms
step:434/1390 train_time:1039619ms step_avg:2395.44ms
step:435/1390 train_time:1042018ms step_avg:2395.44ms
step:436/1390 train_time:1044412ms step_avg:2395.44ms
step:437/1390 train_time:1046809ms step_avg:2395.44ms
step:438/1390 train_time:1049203ms step_avg:2395.44ms
step:439/1390 train_time:1051601ms step_avg:2395.45ms
step:440/1390 train_time:1053996ms step_avg:2395.45ms
step:441/1390 train_time:1056393ms step_avg:2395.45ms
step:442/1390 train_time:1058787ms step_avg:2395.45ms
step:443/1390 train_time:1061185ms step_avg:2395.45ms
step:444/1390 train_time:1063580ms step_avg:2395.45ms
step:445/1390 train_time:1065976ms step_avg:2395.45ms
step:446/1390 train_time:1068371ms step_avg:2395.45ms
step:447/1390 train_time:1070769ms step_avg:2395.46ms
step:448/1390 train_time:1073163ms step_avg:2395.45ms
step:449/1390 train_time:1075559ms step_avg:2395.45ms
step:450/1390 train_time:1077953ms step_avg:2395.45ms
step:450/1390 val_loss:4.2317 train_time:1078056ms step_avg:2395.68ms
step:451/1390 train_time:1080356ms step_avg:2395.47ms
step:452/1390 train_time:1082750ms step_avg:2395.47ms
step:453/1390 train_time:1085147ms step_avg:2395.47ms
step:454/1390 train_time:1087541ms step_avg:2395.46ms
step:455/1390 train_time:1089937ms step_avg:2395.47ms
step:456/1390 train_time:1092333ms step_avg:2395.47ms
step:457/1390 train_time:1094730ms step_avg:2395.47ms
step:458/1390 train_time:1097124ms step_avg:2395.47ms
step:459/1390 train_time:1099522ms step_avg:2395.47ms
step:460/1390 train_time:1101917ms step_avg:2395.47ms
step:461/1390 train_time:1109334ms step_avg:2406.36ms
step:462/1390 train_time:1116931ms step_avg:2417.60ms
step:463/1390 train_time:1124530ms step_avg:2428.79ms
step:464/1390 train_time:1132127ms step_avg:2439.93ms
step:465/1390 train_time:1139724ms step_avg:2451.02ms
step:466/1390 train_time:1147320ms step_avg:2462.06ms
